keywords,counts,years
fish cells,1,1987
"fish cells,temperature",1,1987
"fish cells,temperature,uv sensiti...",1,1987
"fish cells,temperature,uv sensiti...",1,1987
"fish cells,temperature,uv sensiti...",1,1987
chilling stress,1,1988
"chilling stress,pea",1,1988
"chilling stress,pea,mungbean",1,1988
"chilling stress,pea,mungbean,chil...",1,1988
"chilling stress,pea,mungbean,chil...",1,1988
"chilling stress,pea,mungbean,chil...",1,1988
"chilling stress,pea,mungbean,chil...",1,1988
"chilling stress,pea,mungbean,chil...",1,1988
leaf structure,1,1993
"leaf structure,leaf characters",1,1993
"leaf structure,leaf characters,su...",1,1993
"leaf structure,leaf characters,su...",1,1993
"leaf structure,leaf characters,su...",1,1993
"leaf structure,leaf characters,su...",1,1993
葉片結構,1,1993
"葉片結構,葉片特徵",1,1993
"葉片結構,葉片特徵,亞熱帶雨林",1,1993
"葉片結構,葉片特徵,亞熱帶雨林,硬葉林",1,1993
"葉片結構,葉片特徵,亞熱帶雨林,硬葉林,判別分析",1,1993
"葉片結構,葉片特徵,亞熱帶雨林,硬葉林,判別分析,主成分分析。",1,1993
anguilla japonica,1,1994
"anguilla japonica,elver",1,1994
"anguilla japonica,elver,otolith",1,1994
"anguilla japonica,elver,otolith,d...",1,1994
"anguilla japonica,elver,otolith,d...",1,1994
"anguilla japonica,elver,otolith,d...",1,1994
"anguilla japonica,elver,otolith,d...",1,1994
"anguilla japonica,elver,otolith,d...",1,1994
日本鰻,1,1994
"日本鰻,鰻線",1,1994
"日本鰻,鰻線,耳石",1,1994
"日本鰻,鰻線,耳石,日周輪",1,1994
"日本鰻,鰻線,耳石,日周輪,變態記號",1,1994
"日本鰻,鰻線,耳石,日周輪,變態記號,產卵期",1,1994
"日本鰻,鰻線,耳石,日周輪,變態記號,產卵期,洄游。",1,1994
bird,1,1995
"bird,community ecology",1,1995
"bird,community ecology,elevation",1,1995
"bird,community ecology,elevation,...",1,1995
"bird,community ecology,elevation,...",1,1995
"bird,community ecology,elevation,...",1,1995
鳥類,1,1995
"鳥類,群聚生態",1,1995
"鳥類,群聚生態,海拔",1,1995
"鳥類,群聚生態,海拔,生態同功群",1,1995
"鳥類,群聚生態,海拔,生態同功群,多變數分析",1,1995
"鳥類,群聚生態,海拔,生態同功群,多變數分析,植群",1,1995
美洲鰻,1,1996
"美洲鰻,歐洲鰻",1,1996
"美洲鰻,歐洲鰻,鰻線",1,1996
"美洲鰻,歐洲鰻,鰻線,耳石",1,1996
"美洲鰻,歐洲鰻,鰻線,耳石,微化學",1,1996
"美洲鰻,歐洲鰻,鰻線,耳石,微化學,變態輪",1,1996
"美洲鰻,歐洲鰻,鰻線,耳石,微化學,變態輪,日齡",1,1996
"美洲鰻,歐洲鰻,鰻線,耳石,微化學,變態輪,日齡,洄游",1,1996
"美洲鰻,歐洲鰻,鰻線,耳石,微化學,變態輪,日齡,洄游,地理傾斜",1,1996
"美洲鰻,歐洲鰻,鰻線,耳石,微化學,變態輪,日齡,洄游,地理傾斜,...",1,1996
headkidney,1,1997
"headkidney, nephrosin",1,1997
"headkidney, nephrosin, astacin",1,1997
"headkidney, nephrosin, astacin, e...",1,1997
"headkidney, nephrosin, astacin, e...",1,1997
slime molds,1,1997
"slime molds,myxomycetes",1,1997
"slime molds,myxomycetes,ecology",1,1997
"slime molds,myxomycetes,ecology,c...",1,1997
"slime molds,myxomycetes,ecology,c...",1,1997
"slime molds,myxomycetes,ecology,c...",1,1997
"slime molds,myxomycetes,ecology,c...",1,1997
"slime molds,myxomycetes,ecology,c...",1,1997
頭腎、腎泌分解?、細胞間質、耦合金屬蛋白?、組織萃取。,1,1997
黏菌,1,1997
"黏菌,真黏菌",1,1997
"黏菌,真黏菌,樹皮黏菌",1,1997
"黏菌,真黏菌,樹皮黏菌,生態",1,1997
"黏菌,真黏菌,樹皮黏菌,生態,亞熱帶雨林",1,1997
"黏菌,真黏菌,樹皮黏菌,生態,亞熱帶雨林,南仁山",1,1997
"黏菌,真黏菌,樹皮黏菌,生態,亞熱帶雨林,南仁山,萬?得山",1,1997
"黏菌,真黏菌,樹皮黏菌,生態,亞熱帶雨林,南仁山,萬?得山,台灣。",1,1997
fushan experimental forest,1,1998
"fushan experimental forest,epiphyte",1,1998
"fushan experimental forest,epiphy...",1,1998
"fushan experimental forest,epiphy...",1,1998
pteridophyte,1,1998
"pteridophyte,venation pattern",1,1998
"pteridophyte,venation pattern,sys...",1,1998
slime mold,1,1998
"slime mold,myxomycetes",1,1998
"slime mold,myxomycetes,ecology",1,1998
"slime mold,myxomycetes,ecology,su...",1,1998
"slime mold,myxomycetes,ecology,su...",1,1998
"slime mold,myxomycetes,ecology,su...",1,1998
trachinocephalus myops,1,1998
"trachinocephalus myops,yield per ...",1,1998
"trachinocephalus myops,yield per ...",1,1998
"trachinocephalus myops,yield per ...",1,1998
"trachinocephalus myops,yield per ...",1,1998
western n. pacific,1,1998
"western n. pacific,ichthyoplankton",1,1998
"western n. pacific,ichthyoplankto...",1,1998
"western n. pacific,ichthyoplankto...",1,1998
"western n. pacific,ichthyoplankto...",1,1998
"western n. pacific,ichthyoplankto...",1,1998
"western n. pacific,ichthyoplankto...",1,1998
短吻花桿狗母魚,1,1998
"短吻花桿狗母魚,單位元加入生?量模式",1,1998
"短吻花桿狗母魚,單位元加入生?量模式,成熟",1,1998
"短吻花桿狗母魚,單位元加入生?量模式,成熟,產卵",1,1998
"短吻花桿狗母魚,單位元加入生?量模式,成熟,產卵,孕卵數",1,1998
九孔血液細胞,1,1999
"九孔血液細胞,細胞附著",1,1999
"九孔血液細胞,細胞附著,訊息傳遞",1,1999
日本樹蛙,1,1999
"日本樹蛙,溫泉",1,1999
"日本樹蛙,溫泉,生殖",1,1999
"日本樹蛙,溫泉,生殖,溫度生理",1,1999
"日本樹蛙,溫泉,生殖,溫度生理,氧氣消耗量",1,1999
"日本樹蛙,溫泉,生殖,溫度生理,氧氣消耗量,溫度耐受度",1,1999
"日本樹蛙,溫泉,生殖,溫度生理,氧氣消耗量,溫度耐受度,ctm",1,1999
3.5khz echo characters,1,2000
"3.5khz echo characters,wu-chu islet",1,2000
litopenaeus vannamei,1,2000
"litopenaeus vannamei,taura syndrome",1,2000
"litopenaeus vannamei,taura syndro...",1,2000
true slime mold,1,2000
"true slime mold,myxomycetes",1,2000
"true slime mold,myxomycetes,ecology",1,2000
"true slime mold,myxomycetes,ecolo...",1,2000
"true slime mold,myxomycetes,ecolo...",1,2000
"true slime mold,myxomycetes,ecolo...",1,2000
太平洋白蝦,1,2000
"太平洋白蝦,桃拉症",1,2000
"太平洋白蝦,桃拉症,血漿",1,2000
烏坵嶼,1,2000
"烏坵嶼,3.5千赫回聲",1,2000
長鰭鮪,1,2000
"長鰭鮪,印度洋",1,2000
"長鰭鮪,印度洋,尺度",1,2000
"長鰭鮪,印度洋,尺度,cpue",1,2000
"長鰭鮪,印度洋,尺度,cpue,水產海洋學",1,2000
"長鰭鮪,印度洋,尺度,cpue,水產海洋學,多變數分析",1,2000
"長鰭鮪,印度洋,尺度,cpue,水產海洋學,多變數分析,enso",1,2000
鳥類群聚（avian assemblages）,1,2000
"鳥類群聚（avian assemblages）,時間變異（temp...",1,2000
"鳥類群聚（avian assemblages）,時間變異（temp...",1,2000
"鳥類群聚（avian assemblages）,時間變異（temp...",1,2000
黏菌,1,2000
"黏菌,真黏菌",1,2000
"黏菌,真黏菌,生態",1,2000
taiwan,2,2001
"taiwan,eriocaulon",2,2001
"taiwan,eriocaulon,taxonomy",2,2001
台灣,2,2001
"台灣,穀精草屬",2,2001
"台灣,穀精草屬,分類學",2,2001
景觀生態學,2,2001
"景觀生態學,景觀變遷",2,2001
"景觀生態學,景觀變遷,破碎化",2,2001
"景觀生態學,景觀變遷,破碎化,生態同功群",2,2001
"景觀生態學,景觀變遷,破碎化,生態同功群,空間分佈",2,2001
biodiversity,1,2001
"biodiversity,ground spider",1,2001
"biodiversity,ground spider,uplift...",1,2001
"biodiversity,ground spider,uplift...",1,2001
"biodiversity,ground spider,uplift...",1,2001
exploratory behaviour,1,2001
"exploratory behaviour,styan's bulbul",1,2001
"exploratory behaviour,styan's bul...",1,2001
"exploratory behaviour,styan's bul...",1,2001
lanyu scops owl,1,2001
"lanyu scops owl,secondary cavity-...",1,2001
"lanyu scops owl,secondary cavity-...",1,2001
vegetationanalysis,1,2001
"vegetationanalysis,floristiccompo...",1,2001
"vegetationanalysis,floristiccompo...",1,2001
"vegetationanalysis,floristiccompo...",1,2001
"vegetationanalysis,floristiccompo...",1,2001
探索行為,1,2001
"探索行為,烏頭翁",1,2001
cyclobalanopsis glauca,1,2002
"cyclobalanopsis glauca,cpdna",1,2002
"cyclobalanopsis glauca,cpdna,spat...",1,2002
"cyclobalanopsis glauca,cpdna,spat...",1,2002
"cyclobalanopsis glauca,cpdna,spat...",1,2002
fern,1,2002
"fern,archangiopteris itoi",1,2002
"fern,archangiopteris itoi,natural...",1,2002
"fern,archangiopteris itoi,natural...",1,2002
information management,1,2002
"information management,informatio...",1,2002
"information management,informatio...",1,2002
"information management,informatio...",1,2002
"information management,informatio...",1,2002
"information management,informatio...",1,2002
"information management,informatio...",1,2002
matsu,1,2002
"matsu,islands",1,2002
"matsu,islands,plant resource inve...",1,2002
"matsu,islands,plant resource inve...",1,2002
pbx,1,2002
"pbx,call center",1,2002
"pbx,call center,computer telephon...",1,2002
"pbx,call center,computer telephon...",1,2002
"pbx,call center,computer telephon...",1,2002
restorative justice,1,2002
修復性司法,1,2002
"修復性司法,刑事簡易程序",1,2002
蕨類,1,2002
"蕨類,伊藤氏原始觀音座蓮",1,2002
alcippe morrisonia,1,2003
"alcippe morrisonia,nest",1,2003
"alcippe morrisonia,nest,microhabitat",1,2003
"alcippe morrisonia,nest,microhabi...",1,2003
"alcippe morrisonia,nest,microhabi...",1,2003
algae,1,2003
"algae,biomass",1,2003
"algae,biomass,disturbance",1,2003
"algae,biomass,disturbance,varicor...",1,2003
"algae,biomass,disturbance,varicor...",1,2003
"algae,biomass,disturbance,varicor...",1,2003
"algae,biomass,disturbance,varicor...",1,2003
anguilla japonica,1,2003
"anguilla japonica,induced maturation",1,2003
"anguilla japonica,induced maturat...",1,2003
"anguilla japonica,induced maturat...",1,2003
"anguilla japonica,induced maturat...",1,2003
"anguilla japonica,induced maturat...",1,2003
"anguilla japonica,induced maturat...",1,2003
arabidopsis,1,2003
"arabidopsis,rnai",1,2003
"arabidopsis,rnai,agrobacterium",1,2003
"arabidopsis,rnai,agrobacterium,fl...",1,2003
attention,1,2003
"attention,object-based",1,2003
"attention,object-based,space-based",1,2003
"attention,object-based,space-base...",1,2003
"attention,object-based,space-base...",1,2003
"attention,object-based,space-base...",1,2003
"attention,object-based,space-base...",1,2003
null,4,2004
absurd,1,2004
"absurd,liminal",1,2004
"absurd,liminal,pinter",1,2004
"absurd,liminal,pinter,power",1,2004
"absurd,liminal,pinter,power,language",1,2004
apatite,1,2004
"apatite,fission-track",1,2004
"apatite,fission-track,nortern taiwan",1,2004
barometric,1,2004
"barometric,efficiency",1,2004
"barometric,efficiency,storativity",1,2004
baseball,1,2004
"baseball,fun taiwan",1,2004
"baseball,fun taiwan,taiwan baseball",1,2004
"baseball,fun taiwan,taiwan baseba...",1,2004
business model,1,2004
"business model,information servic...",1,2004
"business model,information servic...",1,2004
chemical composition,1,2004
"chemical composition,black tea",1,2004
"chemical composition,black tea,th...",1,2004
chinese herbal pharmaceutical ind...,1,2004
chinese herbal pharmaceutical ind...,1,2004
chinese herbal pharmaceutical ind...,1,2004
chromium,1,2004
"chromium,substance flow",1,2004
"chromium,substance flow,risk",1,2004
collaboration,1,2004
"collaboration,virtual enterprise",1,2004
公司治理,9,2005
corporate governance,8,2005
光子晶體,8,2005
h.264,7,2005
氮化鎵,7,2005
液滴,7,2005
mems,6,2005
rfid,6,2005
asthma,5,2005
gan,5,2005
ganoderma lucidum,5,2005
ofdm,5,2005
peer-to-peer,5,2005
photonic crystal,5,2005
supply chain management,5,2005
供應鏈管理,5,2005
奈米碳管,5,2005
數位電視,5,2005
正交分頻多工,5,2005
氣喘,5,2005
質子交換膜燃料電池,5,2005
dengue virus,4,2005
droplet,4,2005
globalization,4,2005
gps,4,2005
nanoparticle,4,2005
sars,4,2005
vortex,4,2005
二氧化鈦,4,2005
嚴重急性呼吸道症候群,4,2005
rfid,9,2006
光子晶體,8,2006
公司治理,6,2006
矽,6,2006
量子點,6,2006
cmos,5,2006
credit risk,5,2006
ofdm,5,2006
photonic crystal,5,2006
信用風險,5,2006
感測器,5,2006
斑馬魚,5,2006
氧化鋅,5,2006
無線網狀網路,5,2006
發光二極體,5,2006
靈芝,5,2006
antrodia cinnamomea,4,2006
balanced scorecard,4,2006
corporate governance,4,2006
data mining,4,2006
gps,4,2006
helicobacter pylori,4,2006
mimo,4,2006
nanoparticle,4,2006
oled,4,2006
reactive distillation,4,2006
sige,4,2006
surface plasmon resonance,4,2006
wireless mesh network,4,2006
不動產證券化,4,2006
斑馬魚,8,2007
氮化鎵,8,2007
光子晶體,7,2007
糖尿病,7,2007
部落格,7,2007
gan,6,2007
gps,6,2007
photonic crystal,6,2007
wireless sensor network,6,2007
zebrafish,6,2007
乳癌,6,2007
併購,6,2007
半導體,6,2007
水稻,6,2007
diversification,5,2007
led,5,2007
network-on-chip,5,2007
peer-to-peer,5,2007
rfid,5,2007
semiconductor,5,2007
surface plasmon,5,2007
液晶,5,2007
濾波器,5,2007
無線網路,5,2007
砷,5,2007
蝴蝶蘭,5,2007
類神經網路,5,2007
arsenic,4,2007
blog,4,2007
breast cancer,4,2007
氧化鋅,10,2008
surface plasmon,9,2008
zno,9,2008
表面電漿子,8,2008
gan,7,2008
氮化鎵,7,2008
data mining,6,2008
wireless sensor network,6,2008
光子晶體,6,2008
斑馬魚,6,2008
資料探勘,6,2008
breast cancer,5,2008
chitosan,5,2008
corporate governance,5,2008
diabetes,5,2008
droplet collision,5,2008
lcd,5,2008
mems,5,2008
ofdm,5,2008
order imbalance,5,2008
photonic crystal,5,2008
wimax,5,2008
zebrafish,5,2008
乳癌,5,2008
併購,5,2008
公司治理,5,2008
幾丁聚醣,5,2008
水稻,5,2008
液滴碰撞,5,2008
無線網路,5,2008
阿拉伯芥,9,2009
rice,8,2009
太陽能電池,8,2009
氧化鋅,8,2009
水稻,8,2009
無線感測網路,8,2009
arabidopsis,6,2009
染料敏化太陽能電池,6,2009
矽奈米線,6,2009
chitosan,5,2009
data mining,5,2009
eb病毒,5,2009
microrna,5,2009
ofdm,5,2009
system identification,5,2009
wimax,5,2009
zno,5,2009
公司治理,5,2009
燃料電池,5,2009
糖尿病,5,2009
系統識別,5,2009
類比數位轉換器,5,2009
asthma,4,2009
breast cancer,4,2009
corporate governance,4,2009
ebv,4,2009
epstein-barr virus,4,2009
insider trading,4,2009
klebsiella pneumoniae,4,2009
microarray,4,2009
breast cancer,11,2010
乳癌,11,2010
zno,10,2010
氧化鋅,10,2010
ultrasound,9,2010
超音波,8,2010
rice,7,2010
無線感測網路,7,2010
阿拉伯芥,7,2010
china,6,2010
太陽能電池,6,2010
雲端運算,6,2010
arabidopsis,5,2010
bot,5,2010
climate change,5,2010
cloud computing,5,2010
corporate governance,5,2010
database marketing,5,2010
ingan,5,2010
oral cancer,5,2010
併購,5,2010
口腔癌,5,2010
斑馬魚,5,2010
氣候變遷,5,2010
氮化銦鎵,5,2010
水稻,5,2010
砷,5,2010
細胞凋亡,5,2010
肝癌,5,2010
資料庫行銷,5,2010
cloud computing,16,2011
雲端運算,12,2011
climate change,8,2011
氣候變遷,8,2011
ebv,7,2011
eb病毒,7,2011
surface plasmon,7,2011
石墨烯,7,2011
精神分裂症,7,2011
colorectal cancer,6,2011
social network,6,2011
併購,6,2011
染料敏化太陽能電池,6,2011
表面電漿子,6,2011
超音波,6,2011
database marketing,5,2011
graphene,5,2011
hepatocellular carcinoma,5,2011
plant factory,5,2011
schizophrenia,5,2011
二氧化鈦,5,2011
功率放大器,5,2011
大腸直腸癌,5,2011
智慧型手機,5,2011
植物工廠,5,2011
無線感測網路,5,2011
肝癌,5,2011
阿拉伯芥,5,2011
air pollution,4,2011
arabidopsis thaliana,4,2011
智慧型手機,10,2012
cloud computing,9,2012
肝癌,9,2012
阿拉伯芥,9,2012
arabidopsis,8,2012
corporate governance,8,2012
有機發光二極體,8,2012
hepatocellular carcinoma,7,2012
密度泛函理論,7,2012
android,6,2012
graphene,6,2012
hepatitis b virus,6,2012
surface plasmon,6,2012
公司治理,6,2012
石墨烯,6,2012
超音波,6,2012
arsenic,5,2012
bicycle,5,2012
breast cancer,5,2012
depression,5,2012
eb病毒,5,2012
lung cancer,5,2012
oled,5,2012
rice,5,2012
smartphone,5,2012
乳癌,5,2012
低雜訊放大器,5,2012
功率放大器,5,2012
日本鰻,5,2012
氧化鋅,5,2012
cloud computing,12,2013
雲端運算,9,2013
發光二極體,8,2013
氣候變遷,7,2013
水稻,7,2013
阿拉伯芥,7,2013
hepatocellular carcinoma,6,2013
schizophrenia,6,2013
機器學習,6,2013
癌症,6,2013
精神分裂症,6,2013
肝細胞癌,6,2013
arabidopsis,5,2013
cancer,5,2013
climate change,5,2013
colorectal cancer,5,2013
corporate governance,5,2013
led,5,2013
rheumatoid arthritis,5,2013
ruthenium,5,2013
social network,5,2013
公司治理,5,2013
大腸直腸癌,5,2013
無線感測網路,5,2013
質子交換膜燃料電池,5,2013
android,4,2013
autophagy,4,2013
b型肝炎病毒,4,2013
c型肝炎病毒,4,2013
financial crisis,4,2013
石墨烯,13,2014
graphene,12,2014
阿茲海默症,9,2014
colorectal cancer,7,2014
智慧型手機,7,2014
阿拉伯芥,7,2014
eb病毒,6,2014
hepatocellular carcinoma,6,2014
ruthenium,6,2014
smartphone,6,2014
taiwan,6,2014
android,5,2014
big data,5,2014
biomass,5,2014
business plan,5,2014
construction industry,5,2014
corporate governance,5,2014
ebv,5,2014
light field,5,2014
phalaenopsis,5,2014
plant factory,5,2014
schizophrenia,5,2014
公司治理,5,2014
太陽能,5,2014
推薦系統,5,2014
植物工廠,5,2014
肝癌,5,2014
肝細胞癌,5,2014
蝴蝶蘭,5,2014
金奈米粒子,5,2014
graphene,12,2015
石墨烯,11,2015
企業社會責任,10,2015
阿拉伯芥,10,2015
colorectal cancer,8,2015
corporate social responsibility,8,2015
大腸直腸癌,8,2015
鈣鈦礦太陽能電池,8,2015
arabidopsis,7,2015
perovskite solar cell,6,2015
公司治理,6,2015
水稻,6,2015
雲端運算,6,2015
big data,5,2015
cloud computing,5,2015
corporate governance,5,2015
rice,5,2015
surface plasmon resonance,5,2015
taiwan,5,2015
共同基金,5,2015
建築資訊模型,5,2015
微流道,5,2015
淺層溫能,5,2015
物聯網,5,2015
鋰離子電池,5,2015
aging,4,2015
alzheimer’s disease,4,2015
augmented reality,4,2015
breast cancer,4,2015
c. elegans,4,2015
物聯網,12,2016
阿拉伯芥,10,2016
e-commerce,9,2016
business model,8,2016
physical design,8,2016
實體設計,8,2016
電子商務,8,2016
graphene,7,2016
machine learning,7,2016
機器學習,7,2016
石墨烯,7,2016
第三方支付,7,2016
軟體定義網路,7,2016
3d printing,6,2016
arabidopsis,6,2016
epstein-barr virus,6,2016
internet of things,6,2016
millimeter wave,6,2016
software-defined networking,6,2016
spintronics,6,2016
企業社會責任,6,2016
商業模式,6,2016
毫米波,6,2016
阿茲海默症,6,2016
類比至數位轉換器,6,2016
3d列印,5,2016
aging,5,2016
bim,5,2016
corporate social responsibility,5,2016
hepatocellular carcinoma,5,2016
物聯網,10,2017
石墨烯,10,2017
internet of things,9,2017
二維材料,9,2017
有機發光二極體,9,2017
fintech,8,2017
graphene,8,2017
行動支付,8,2017
金融科技,8,2017
climate change,7,2017
organic light-emitting diode,7,2017
surface plasmon resonance,7,2017
氣候變遷,7,2017
社會企業,7,2017
超音波,7,2017
鋰離子電池,7,2017
blockchain,6,2017
breast cancer,6,2017
pitaya,6,2017
social enterprise,6,2017
ultrasound,6,2017
紅龍果,6,2017
阿拉伯芥,6,2017
alzheimer’s disease,5,2017
colorectal cancer,5,2017
deep learning,5,2017
machine learning,5,2017
mobile payment,5,2017
social media,5,2017
乳癌,5,2017
深度學習,19,2018
deep learning,18,2018
machine learning,16,2018
機器學習,15,2018
blockchain,13,2018
區塊鏈,13,2018
fintech,9,2018
共享經濟,9,2018
物聯網,9,2018
石墨烯,9,2018
金融科技,9,2018
阿茲海默症,9,2018
alzheimer’s disease,8,2018
graphene,8,2018
sharing economy,8,2018
eb病毒,7,2018
physical design,7,2018
企業社會責任,7,2018
實體設計,7,2018
電子商務,7,2018
action recognition,6,2018
convolutional neural network,6,2018
corporate social responsibility,6,2018
e-commerce,6,2018
food safety,6,2018
lung cancer,6,2018
oled,6,2018
併購,6,2018
動作辨識,6,2018
卷積神經網路,6,2018
deep learning,26,2019
深度學習,26,2019
機器學習,14,2019
machine learning,13,2019
blockchain,10,2019
區塊鏈,10,2019
鋰離子電池,8,2019
breast cancer,7,2019
colorectal cancer,7,2019
oral cancer,7,2019
人工智慧,7,2019
企業社會責任,7,2019
口腔癌,7,2019
阿茲海默症,7,2019
corporate social responsibility,6,2019
graphene,6,2019
social media,6,2019
乳癌,6,2019
大腸直腸癌,6,2019
石墨烯,6,2019
5g,5,2019
artificial intelligence,5,2019
atherosclerosis,5,2019
autonomous vehicle,5,2019
computer vision,5,2019
convolutional neural network,5,2019
ifrs 17,5,2019
lithium-ion battery,5,2019
mergers and acquisitions,5,2019
surface plasmon,5,2019
deep learning,24,2020
深度學習,23,2020
機器學習,20,2020
machine learning,19,2020
null,19,2020
blockchain,12,2020
區塊鏈,12,2020
虛擬實境,8,2020
自然語言處理,7,2020
電子商務,7,2020
5g,6,2020
breast cancer,6,2020
business plan,6,2020
e-commerce,6,2020
microfluidics,6,2020
virtual reality,6,2020
乳癌,6,2020
人工智慧,6,2020
autonomous vehicle,5,2020
climate change,5,2020
colorectal cancer,5,2020
computer vision,5,2020
fintech,5,2020
lung cancer,5,2020
natural language processing,5,2020
social media,5,2020
二維材料,5,2020
肺癌,5,2020
表面電漿子共振,5,2020
金融科技,5,2020
深度學習,7,2021
deep learning,5,2021
colorectal cancer,3,2021
covid-19,3,2021
wind turbine,3,2021
實體設計,3,2021
5g,2,2021
blockchain,2,2021
cabbage,2,2021
chronic schizophrenia,2,2021
"chronic schizophrenia,remotivation",2,2021
"chronic schizophrenia,remotivatio...",2,2021
"chronic schizophrenia,remotivatio...",2,2021
"chronic schizophrenia,remotivatio...",2,2021
"chronic schizophrenia,remotivatio...",2,2021
cms,2,2021
convolutional neural networks,2,2021
copd,2,2021
depression,2,2021
digital transformation,2,2021
fft,2,2021
food safety,2,2021
graphene,2,2021
micro piezoelectric energy harvester,2,2021
micro piezoelectric energy harves...,2,2021
micro piezoelectric energy harves...,2,2021
micro piezoelectric energy harves...,2,2021
micro piezoelectric energy harves...,2,2021
nondestructive testing,2,2021
none,2,2021
covid-19,19,2022
深度學習,14,2022
deep learning,13,2022
新冠肺炎,11,2022
breast cancer,7,2022
乳癌,7,2022
機器學習,7,2022
machine learning,6,2022
人工智慧,6,2022
石墨烯,6,2022
artificial intelligence,5,2022
climate change,5,2022
none,5,2022
sars-cov-2,5,2022
氣候變遷,5,2022
esg,4,2022
graphene,4,2022
lung cancer,4,2022
taiwan,4,2022
區塊鏈,4,2022
外泌體,4,2022
擴增實境,4,2022
有機發光二極體,4,2022
水稻,4,2022
肺癌,4,2022
arabidopsis,3,2022
asthma,3,2022
blockchain,3,2022
dementia,3,2022
elderly,3,2022
deep learning,27,2023
深度學習,27,2023
covid-19,20,2023
machine learning,16,2023
none,15,2023
機器學習,12,2023
climate change,10,2023
digital transformation,10,2023
氣候變遷,10,2023
federated learning,8,2023
數位轉型,8,2023
企業社會責任,7,2023
esg,6,2023
renewable energy,6,2023
再生能源,6,2023
聯邦學習,6,2023
breast cancer,5,2023
corporate social responsibility,5,2023
covid-19 pandemic,5,2023
sars-cov-2,5,2023
乳癌,5,2023
二維材料,5,2023
人工智慧,5,2023
合成孔徑雷達,5,2023
artificial intelligence,4,2023
blockchain,4,2023
gaap earnings,4,2023
"gaap earnings,non-gaap earnings",4,2023
"gaap earnings,non-gaap earnings,c...",4,2023
gaap盈餘,4,2023
covid-19,6,2024
bismuth thin film,3,2024
deep learning,3,2024
企業社會責任,3,2024
深度學習,3,2024
鉍薄膜,3,2024
business model,2,2024
corporate social responsibility,2,2024
corporate social responsibility (...,2,2024
"covid-19,sars-cov-2",2,2024
panel data,2,2024
quantum dot,2,2024
sars-cov-2,2,2024
semiconductor industry,2,2024
tomato,2,2024
中國,2,2024
半導體產業,2,2024
商業模式,2,2024
崩塌潛勢,2,2024
水稻,2,2024
番茄,2,2024
量子點,2,2024
2d materials,1,2024
"2d materials,low-temperature pret...",1,2024
"2d materials,low-temperature pret...",1,2024
"2d materials,low-temperature pret...",1,2024
"2d materials,low-temperature pret...",1,2024
"2d materials,low-temperature pret...",1,2024
2d poisson’s & drift-diffusion so...,1,2024
2d poisson’s & drift-diffusion so...,1,2024
